,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
0,2 Beds, $768800,2 Baths,"MLS® ML81910045
","1,268 ft","386 Faxon AVE 9, SAN FRANCISCO, CA 94112Pending"
1,3 Beds, $989000,3 Baths,"MLS® ML81919803
","1,208 ft","197 Goethe ST, SAN FRANCISCO, CA 94112Active"
2,01 Bed, $56800,1 Bath,"MLS® ML81919241
",670 ft,"3981 Alemany BLVD 203, SAN FRANCISCO, CA 94132Under Contract"
3,3 Beds, $998888,1 Bath,"MLS® ML81919668
","1,866 ft","132 Britton ST, SAN FRANCISCO, CA 94134Active"
4,2 Beds, $839888,1 Bath,"MLS® ML81913211
","1,000 ft","1130 Brussels ST, SAN FRANCISCO, CA 94134Pending"
5,2 Beds, $799000,2 Baths,"MLS® ML81915837
",978 ft,"611 Mason ST 506, SAN FRANCISCO, CA 94108Pending"
6,2 Beds, $730000,1 Bath,"MLS® ML81919602
","1,104 ft","566 Athens ST, SAN FRANCISCO, CA 94112Active"
7,3 Beds, $750000,3 Baths,"MLS® ML81919441
","2,150 ft","586 Paris ST, SAN FRANCISCO, CA 94112Active"
8,01 Bed, $69900,1 Bath,"MLS® ML81919357
",743 ft,"3620 Cesar Chavez 104, SAN FRANCISCO, CA 94110Active"
9,01 Bed, $86600,1 Bath,"MLS® ML81914884
",837 ft,"1840 Washington ST 303, SAN FRANCISCO, CA 94109Pending"
10,2 Beds, $899950,1 Bath,"MLS® ML81919282
",990 ft,"5150 Diamond Heights BLVD 201B, SAN FRANCISCO, CA 94131Active"
11,2 Beds, $818000,1 Bath,"MLS® ML81919176
",750 ft,"1534 Irving ST 101, SAN FRANCISCO, CA 94122Active"
12,81 Bed, $99988,1 Bath,"MLS® ML81919054
",840 ft,"15 Rico WAY 2, SAN FRANCISCO, CA 94123Active"
13,2 Beds, $874900,2 Baths,"MLS® ML81917766
","1,409 ft","24 Perego TER, SAN FRANCISCO, CA 94131Pending"
14,2 Beds, $936888,1 Bath,"MLS® ML81918593
","1,060 ft","482 Ellington AVE, SAN FRANCISCO, CA 94112Active"
15,000, $498,1 Bath,"MLS® ML81918550
",347 ft,"388 Fulton ST 510, SAN FRANCISCO, CA 94102Active"
16,2 Beds, $969000,2 Baths,"MLS® ML81918529
","1,050 ft","502 Wisconsin ST, SAN FRANCISCO, CA 94107Active"
17,01 Bed, $39900,1 Bath,"MLS® ML81918487
",470 ft,"601 Van Ness AVE 328, SAN FRANCISCO, CA 94102Active"
18,3 Beds, $998888,1 Bath,"MLS® ML81918424
",986 ft,"257 Montana ST, SAN FRANCISCO, CA 94112Active"
19,01 Bed, $56500,1 Bath,"MLS® ML81918396
",669 ft,"8300 Oceanview TER 316, SAN FRANCISCO, CA 94132Active"
20,2 Beds, $988000,1 Bath,"MLS® ML81918323
",928 ft,"588 Huron AVE, SAN FRANCISCO, CA 94112Pending"
